,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,Fire Alarm
53367,26.09,47.03,120,405,12789,20605,937.344,1.88,1.95,0
61582,11.59,16.97,273,400,13485,20890,936.817,1.65,1.71,0
44621,26.48,49.88,1145,400,12932,19447,938.698,1.7,1.77,1
30482,22.22,48.56,18,400,13270,20225,939.717,2.53,2.63,1
24641,3.912,52.79,1277,408,12992,19402,938.802,2.44,2.53,1
1418,26.326,53.16,1,400,13109,20005,939.687,0.79,0.82,0
39137,24.78,52.28,1099,487,12851,19450,938.922,1.75,1.82,1
41328,26.87,48.08,1126,400,12892,19445,938.736,2.01,2.09,1
26039,16.03,50.96,0,400,13041,19943,939.783,0.37,0.39,0
16635,13.167,48.01,1187,403,12888,19436,938.745,1.87,1.94,1
19639,19.238,47.95,1105,400,12931,19443,938.707,1.83,1.9,1
30175,22.17,48.77,32,400,13240,20186,939.699,2.54,2.64,1
20810,6.077,53.15,1274,400,12958,19412,938.688,2.22,2.31,1
11562,12.528,52.3,1092,625,12801,19447,939.063,2.45,2.54,1
16064,12.137,52.61,1174,403,12883,19445,938.779,1.73,1.79,1
453,25.009,56.76,6,400,12741,19756,939.815,0.3,0.36,0
47809,26.75,48.44,1358,401,12971,19392,938.733,1.99,2.06,1
48461,26.44,50.19,1400,404,12974,19383,938.694,2.03,2.11,1
38777,24.8,52.21,1153,518,12848,19449,938.896,2.07,2.15,1
11299,9.657,49.01,967,616,12807,19483,939.068,2.05,2.13,1
58804,-4.569,45.18,130,414,12780,20588,937.363,1.85,1.93,0
11039,6.743,53.06,1059,662,12791,19469,939.084,2.2,2.29,1
53070,26.02,47.27,120,402,12781,20605,937.36,1.78,1.85,0
50900,36.36,14.47,432,4286,12312,20179,930.911,1.83,1.9,1
5608,-9.242,48.85,45,400,13245,20205,939.727,2.51,2.61,1
34811,24.22,52.11,699,915,12666,19554,939.153,2.48,2.58,1
61259,20.792,26.32,12749,472,12775,19155,936.898,0.83,0.86,0
50964,34.01,16.95,0,1525,12763,20665,930.903,1.03,1.07,1
13334,20.333,47.71,1157,534,12841,19445,938.894,1.77,1.84,1
12103,17.581,52.27,1076,583,12825,19462,939.046,2.12,2.2,1
7089,-5.064,51.23,228,400,13133,20029,939.554,0.37,0.38,1
53579,28.52,42.63,154,433,12780,20578,937.35,2.07,2.15,0
39583,26.69,48.65,1097,448,12864,19446,938.885,1.78,1.84,1
4726,-6.891,53.12,59,400,13238,20155,939.653,2.32,2.41,1
8370,-4.599,56.87,323,400,13102,19933,939.364,0.23,0.24,1
16579,13.027,47.73,1099,400,12890,19450,938.759,1.65,1.72,1
2422,18.404,52.7,2,400,13217,20154,939.62,1.08,1.12,0
51736,27.64,41.01,83,429,12805,20675,937.532,2.31,2.4,0
38631,26.92,47.51,1103,509,12858,19460,938.871,1.83,1.9,1
43679,27.06,47.49,1207,400,12923,19433,938.702,1.71,1.77,1
25190,13.8,49.57,0,402,12596,19684,939.803,0.69,1.57,0
10530,1.347,50.05,981,686,12786,19496,939.109,2.37,2.47,1
18575,20.231,50.37,1235,417,12907,19417,938.719,1.66,1.72,1
41443,26.64,48.95,1096,400,12896,19465,938.763,1.75,1.82,1
32515,18.79,54.02,284,400,13111,19974,939.479,0.55,0.57,1
2769,14.419,52.7,94,400,13189,20079,939.616,1.06,1.1,0
23943,-15.21,52.7,1343,400,12984,19394,938.73,1.78,1.85,1
58969,-5.241,41.61,114,400,12791,20609,937.33,1.98,2.05,0
48969,25.05,50.81,1377,419,12972,19382,938.745,1.65,1.71,1
3455,5.931,53.74,320,400,13108,19886,939.679,1.31,1.36,1
36475,26.61,47.85,1032,611,12808,19472,939.088,2.36,2.45,1
28920,22.52,46.92,162,400,13214,20056,939.673,2.21,2.3,1
28886,20.13,52.26,174,400,13205,20039,939.667,1.96,2.04,1
19369,20.316,53.32,1191,400,12923,19429,938.692,1.82,1.9,1
13672,19.198,53.02,1084,521,12837,19438,938.871,2.17,2.26,1
16389,12.612,48.99,1120,400,12893,19448,938.733,2.11,2.19,1
3101,10.342,49.05,168,400,13151,19995,939.652,0.72,0.74,0
33405,18.74,54.75,339,400,13094,19928,939.36,0.35,0.36,1
6754,-6.139,52.43,233,400,13131,20034,939.612,0.98,1.02,1
13590,19.518,46.83,1094,497,12852,19458,938.863,1.91,1.99,1
18079,18.589,47.79,1141,402,12907,19442,938.71,1.69,1.75,1
30460,21.66,51.37,24,400,13250,20211,939.737,2.1,2.18,1
61799,-3.312,29.1,60000,6453,11550,16907,936.849,2054.79,2134.85,0
30361,22.24,48.43,8,400,13260,20227,939.723,2.47,2.56,1
62089,-20.111,13.66,60000,10009,11375,16742,936.788,8918.1,15317.69,0
25000,12.96,53.61,0,400,12432,19058,939.738,0.0,0.0,0
21640,-7.546,52.38,1337,414,12955,19384,938.718,2.37,2.46,1
2928,12.487,51.03,161,400,13151,20012,939.63,0.86,0.89,0
46196,26.94,47.61,1341,400,12952,19393,938.679,2.29,2.38,1
58635,-4.118,47.19,107,409,12778,20626,937.392,1.74,1.81,0
36671,24.71,51.42,1084,621,12809,19462,939.046,1.85,1.92,1
60048,18.826,42.65,198,423,12774,20531,937.357,1.64,1.71,0
6583,-6.741,54.74,212,400,13141,20061,939.604,0.56,0.58,1
54148,26.08,48.08,175,420,12776,20543,937.328,1.82,1.89,0
6909,-5.615,51.29,224,400,13134,20039,939.592,0.42,0.44,1
18563,20.202,47.64,1163,400,12919,19445,938.725,1.49,1.55,1
24176,-10.371,53.41,1166,400,13014,19434,938.763,2.05,2.13,1
4525,-5.448,47.63,57,400,13248,20156,939.619,1.98,2.06,1
20953,3.784,48.4,1335,409,12941,19393,938.693,1.88,1.96,1
13463,19.961,47.11,1151,513,12845,19445,938.892,1.76,1.83,1
37914,26.96,47.3,1065,538,12838,19461,938.909,1.71,1.78,1
53947,28.77,42.34,162,417,12777,20569,937.409,1.73,1.8,0
29401,22.43,47.83,92,400,13238,20125,939.649,2.0,2.08,1
42589,26.87,48.11,1124,400,12908,19447,938.729,1.64,1.7,1
3294,7.931,64.28,205,400,13180,20011,939.707,2.36,2.46,1
29805,22.02,49.83,28,400,13250,20189,939.675,2.07,2.15,1
7742,-4.08,55.26,301,400,13111,19963,939.424,0.31,0.33,1
29640,22.42,47.66,47,400,13250,20179,939.655,2.19,2.28,1
11759,14.542,53.54,1092,614,12809,19466,939.082,2.01,2.09,1
44578,27.04,47.66,1210,401,12922,19426,938.699,1.36,1.41,1
19142,20.732,53.21,1168,400,12932,19434,938.726,1.56,1.62,1
37011,26.77,47.65,1005,575,12829,19470,939.048,2.12,2.2,1
574,25.82,54.63,2,400,12844,19826,939.838,0.36,0.39,0
45524,26.63,48.22,1044,400,12996,19469,938.724,1.9,1.97,1
42349,26.85,48.11,1163,400,12905,19443,938.759,1.78,1.85,1
17734,17.143,49.65,1176,415,12897,19431,938.715,1.42,1.48,1
43919,27.06,47.57,1197,400,12919,19437,938.687,1.82,1.89,1
829,26.874,50.2,6,400,12980,19910,939.774,0.11,0.12,0
37948,24.49,53.09,1086,538,12836,19466,938.904,2.07,2.15,1
32319,20.9,50.42,246,400,13133,20025,939.483,0.55,0.57,1
44540,24.65,53.15,1243,416,12915,19411,938.688,1.43,1.49,1
45337,26.13,52.16,1143,400,12979,19447,938.76,1.77,1.84,1
2580,16.638,52.65,68,400,13198,20108,939.616,0.85,0.88,0
20860,5.284,51.97,1331,413,12953,19394,938.678,1.86,1.93,1
39148,24.55,53.19,1136,500,12850,19452,938.927,1.91,1.98,1
21917,-11.795,48.18,1367,409,12955,19388,938.73,1.86,1.94,1
33590,19.89,56.89,318,400,13101,19939,939.324,0.54,0.56,1
25674,12.04,57.2,4,400,12896,19855,939.785,0.19,0.19,0
39867,24.57,53.18,1113,453,12868,19446,938.826,2.1,2.18,1
21716,-8.748,53.92,1360,408,12957,19382,938.696,2.44,2.53,1
57849,-2.447,45.77,107,402,12779,20639,937.526,2.22,2.31,0
60561,12.077,44.62,0,400,13356,21214,937.437,1.75,1.82,0
7041,-5.203,49.88,227,400,13141,20044,939.554,0.45,0.47,1
41591,25.05,51.19,1118,412,12886,19445,938.736,1.86,1.93,1
3209,8.993,58.39,0,400,13350,20339,939.685,2.57,2.67,1
43055,25.67,53.81,1111,400,12923,19457,938.701,1.71,1.77,1
36636,25.78,52.97,1017,589,12825,19487,939.046,1.95,2.03,1
24541,0.286,54.38,1306,400,13001,19403,938.786,1.77,1.84,1
2793,14.131,45.79,102,400,13182,20061,939.623,0.98,1.02,0
57430,18.99,45.39,132,408,12816,20636,937.473,2.27,2.36,0
60658,12.664,38.3,0,400,13451,21313,937.402,1.93,2.01,0
13656,19.263,50.43,1151,529,12837,19447,938.869,1.98,2.06,1
3781,2.007,52.56,163,400,13202,20045,939.652,1.82,1.9,1
18833,20.694,53.58,1207,405,12915,19420,938.702,1.5,1.56,1
36610,24.86,50.59,1084,616,12808,19456,939.076,1.9,1.97,1
16099,12.173,47.65,1128,400,12884,19446,938.742,1.91,1.99,1
3527,5.046,58.03,327,400,13109,19888,939.686,1.34,1.39,1
15010,13.161,48.58,1084,436,12868,19456,938.84,2.04,2.12,1
17961,18.108,47.61,1157,400,12905,19435,938.715,1.57,1.63,1
43627,25.35,48.91,1308,432,12899,19402,938.738,1.48,1.54,1
8852,-5.147,54.17,365,400,13064,19898,939.306,0.34,0.35,1
6137,-8.226,49.54,152,400,13178,20108,939.679,1.3,1.36,1
7170,-4.844,51.57,255,400,13127,20012,939.521,0.52,0.54,1
25843,12.77,56.56,13,400,12981,19908,939.769,0.23,0.24,0
25491,11.78,55.01,11,400,12776,19772,939.815,0.24,0.25,0
23777,-17.804,48.37,1327,400,12975,19380,938.707,2.23,2.31,1
61709,3.193,32.65,4126,400,13249,19746,936.876,0.69,0.71,0
6733,-6.212,50.35,206,400,13146,20061,939.595,0.62,0.64,1
14726,14.226,47.16,1138,454,12865,19448,938.889,1.62,1.68,1
57075,26.858,44.88,30,415,12847,20754,937.568,1.93,2.0,0
687,26.394,55.99,0,400,12916,19872,939.798,0.16,0.17,0
37445,25.93,46.85,1149,595,12817,19440,938.985,2.18,2.27,1
27432,20.36,47.45,18,400,13210,20137,939.624,1.1,1.14,0
60984,17.572,55.68,3103,400,13242,19841,936.918,0.74,0.77,0
22238,-16.098,51.94,1352,410,12960,19388,938.694,1.87,1.94,1
28725,22.17,49.98,242,400,13153,19977,939.672,1.31,1.36,1
59561,13.358,43.04,165,431,12778,20555,937.367,1.96,2.04,0
24030,-13.572,47.61,1291,400,12993,19399,938.772,1.55,1.61,1
26050,16.31,49.75,9,400,13046,19945,939.776,0.37,0.38,0
58075,-8.89,40.75,86,400,12789,20658,937.48,1.93,2.01,0
47299,24.59,53.24,1377,412,12957,19379,938.709,1.91,1.99,1
54086,26.15,47.77,179,427,12769,20540,937.413,1.77,1.84,0
28378,22.24,55.21,271,400,13144,19945,939.655,1.72,1.79,1
31284,19.19,55.11,179,400,13165,20094,939.648,0.91,0.94,1
23155,-22.003,54.01,1379,404,12971,19389,938.697,2.01,2.09,1
8244,-4.44,54.31,323,400,13097,19935,939.428,0.25,0.26,1
52838,25.91,47.61,128,417,12775,20592,937.405,1.92,2.0,0
5717,-9.138,49.47,34,400,13255,20222,939.661,2.19,2.28,1
39339,26.44,50.25,1143,458,12858,19449,938.927,2.31,2.4,1
45980,24.58,53.04,1346,409,12946,19391,938.691,1.89,1.97,1
30974,19.75,53.93,124,400,13195,20147,939.675,1.97,2.04,1
5135,-8.787,50.13,57,400,13232,20165,939.69,2.07,2.15,1
12848,20.81,48.85,1084,548,12840,19459,938.914,1.93,2.01,1
28503,22.52,52.65,313,400,13120,19909,939.674,1.24,1.29,1
46021,27.01,47.39,1362,418,12948,19386,938.679,2.08,2.16,1
60999,17.85,49.45,4133,400,13227,19703,936.96,0.71,0.74,0
31126,21.59,50.14,141,400,13186,20122,939.7,1.27,1.32,1
29453,22.32,48.25,54,400,13254,20155,939.676,2.54,2.64,1
13683,19.154,51.7,1073,493,12862,19471,938.874,2.24,2.33,1
2533,17.173,53.61,64,400,13185,20108,939.631,0.99,1.03,0
55425,40.86,36.58,3490,400,13122,19749,936.849,0.78,0.81,0
37339,24.61,52.51,1017,570,12825,19475,938.982,2.43,2.53,1
52799,28.69,41.73,87,400,12793,20644,937.406,1.9,1.98,0
4682,-6.602,54.19,39,400,13252,20182,939.681,2.15,2.23,1
21358,-2.931,53.91,1329,400,12957,19398,938.699,1.93,2.0,1
3617,3.952,52.28,330,400,13112,19889,939.668,1.51,1.57,1
9932,-3.277,51.57,696,714,12775,19557,939.113,2.56,2.65,1
259,23.259,51.75,37,400,12622,19674,939.821,0.1,0.17,0
39503,24.66,52.81,1128,463,12859,19446,938.902,1.8,1.87,1
56913,21.614,41.17,0,420,12876,20793,937.607,2.02,2.1,0
30848,20.15,51.93,15,400,13256,20253,939.698,2.56,2.65,1
58120,-9.216,41.79,76,400,12791,20660,937.492,2.15,2.23,0
50917,34.52,16.56,338,3498,12439,20270,930.88,1.89,1.97,1
14147,16.999,52.71,1143,504,12848,19442,938.909,1.91,1.98,1
59537,12.262,48.44,155,424,12772,20565,937.379,1.74,1.81,0
10487,0.936,49.04,864,673,12789,19513,939.107,2.18,2.27,1
4126,-1.79,52.44,130,400,13219,20085,939.612,1.96,2.04,1
27451,18.06,52.32,5,400,13214,20151,939.642,1.26,1.31,0
62001,-16.361,23.37,60000,28386,10827,15472,936.781,4507.66,9699.9,0
4061,-1.112,51.4,132,400,13222,20081,939.634,1.98,2.06,1
56984,24.803,39.26,45,423,12862,20746,937.616,2.26,2.35,0
50465,40.07,15.6,155,4724,12326,19965,930.938,4.58,4.75,1
9625,-4.532,57.81,718,716,12779,19562,939.153,2.96,3.07,1
60181,16.038,44.22,217,449,12757,20510,937.389,1.8,1.87,0
52356,26.1,47.05,76,400,12788,20659,937.506,2.07,2.15,0
6694,-6.349,52.35,223,400,13135,20044,939.596,0.66,0.69,1
56393,59.62,11.63,60000,4030,11810,17272,936.751,2457.9,2897.41,0
1710,24.769,55.75,0,400,13157,20073,939.628,0.66,0.69,0
14487,15.316,46.99,1187,483,12860,19437,938.933,2.06,2.14,1
37165,24.45,52.91,1038,586,12817,19468,938.997,2.23,2.31,1
24727,7.287,50.19,1249,400,13002,19410,938.808,1.71,1.78,1
18968,20.788,49.39,1153,400,12926,19437,938.691,1.49,1.55,1
58625,-4.148,45.41,91,401,12781,20628,937.403,1.75,1.82,0
37595,25.61,53.29,992,527,12840,19485,938.983,2.04,2.12,1
60235,14.902,42.32,202,422,12768,20529,937.409,1.71,1.78,0
46257,26.98,47.68,1327,400,12957,19395,938.703,1.7,1.76,1
51927,26.56,45.89,97,431,12779,20654,937.557,1.75,1.82,0
25654,12.55,52.9,29,400,12871,19819,939.806,0.26,0.27,0
20841,5.586,47.49,1285,400,12950,19403,938.702,2.08,2.16,1
22099,-14.335,48.06,1316,400,12965,19398,938.728,1.76,1.83,1
49196,26.85,47.53,1187,400,13021,19432,938.766,2.07,2.15,1
61345,20.211,23.12,21585,662,12689,18927,936.887,0.77,0.8,0
9225,-5.203,57.76,490,611,12835,19767,939.241,1.96,2.04,1
14513,15.192,53.09,1155,488,12858,19438,938.898,1.8,1.87,1
39087,24.55,53.14,1115,492,12847,19446,938.904,2.01,2.09,1
27062,19.12,50.53,1,400,13162,20044,939.642,0.73,0.76,0
51680,27.14,43.93,111,413,12819,20652,937.48,2.06,2.14,0
47198,26.2,51.66,1341,400,12976,19399,938.701,2.03,2.11,1
35389,23.14,55.99,915,698,12779,19501,939.084,2.39,2.48,1
8634,-4.932,55.8,345,400,13084,19919,939.332,0.44,0.45,1
35633,25.22,53.63,866,639,12805,19508,939.089,2.19,2.27,1
26416,17.35,51.39,6,400,13109,20009,939.696,0.72,0.75,0
29323,21.93,50.3,103,400,13233,20106,939.665,2.58,2.68,1
31545,21.2,50.41,198,400,13161,20072,939.608,0.75,0.78,1
1695,24.866,55.0,9,400,13144,20041,939.641,0.96,1.0,0
23077,-21.989,51.65,1394,418,12963,19379,938.71,1.86,1.93,1
27969,19.64,45.52,183,400,13136,19984,939.653,0.94,0.98,0
38216,27.04,47.12,1115,527,12840,19449,938.875,2.07,2.15,1
3434,6.19,55.54,290,400,13132,19921,939.677,1.95,2.03,1
60690,12.969,43.56,0,400,13505,21360,937.41,1.83,1.9,0
42814,24.45,53.82,1113,410,12906,19445,938.726,1.95,2.03,1
10220,-1.377,55.3,852,687,12787,19517,939.065,2.15,2.24,1
39221,26.56,49.27,1111,477,12861,19451,938.917,1.86,1.93,1
14044,17.509,50.94,1080,475,12863,19461,938.92,1.92,1.99,1
40289,24.54,53.33,1124,440,12870,19438,938.822,2.04,2.12,1
9608,-4.58,62.01,703,728,12772,19556,939.14,2.94,3.05,1
3946,0.133,51.84,153,400,13214,20059,939.664,2.4,2.5,1
57498,15.672,46.29,79,400,12827,20684,937.511,2.3,2.39,0
45544,27.09,46.66,1086,400,12987,19455,938.743,2.3,2.39,1
47099,26.96,47.75,1337,400,12969,19399,938.731,1.79,1.86,1
20182,14.76,46.61,906,400,13016,19498,938.744,2.1,2.18,1
35148,22.69,57.0,917,712,12766,19496,939.083,2.41,2.5,1
6576,-6.766,53.09,208,400,13144,20055,939.636,0.64,0.67,1
54801,25.43,42.34,0,400,13350,21193,937.45,1.68,1.75,0
31752,19.1,53.94,215,400,13144,20046,939.615,0.88,0.91,1
59747,19.755,42.54,170,430,12772,20546,937.426,1.84,1.91,0
48109,26.75,48.52,1352,406,12970,19383,938.718,1.75,1.82,1
5284,-9.109,52.38,6,400,13268,20225,939.722,2.17,2.25,1
43281,24.64,53.12,1245,432,12900,19425,938.702,1.79,1.86,1
797,26.788,57.36,0,400,12956,19898,939.784,0.14,0.14,0
53309,26.02,47.26,123,404,12787,20595,937.343,2.0,2.08,0
17215,15.02,53.54,1166,414,12891,19442,938.774,1.53,1.59,1
40400,24.69,52.77,1151,431,12868,19440,938.826,1.91,1.98,1
19856,17.845,53.88,1237,411,12921,19428,938.723,1.77,1.84,1
34920,24.21,52.9,693,707,12779,19563,939.139,2.57,2.67,1
27917,18.81,49.99,160,400,13154,20013,939.621,0.99,1.03,0
46174,24.36,53.94,1318,406,12950,19396,938.69,2.19,2.28,1
20929,4.174,53.3,1377,431,12937,19383,938.665,2.08,2.16,1
59219,-1.881,41.46,172,449,12768,20546,937.325,1.96,2.03,0
47708,25.16,50.03,1367,423,12955,19383,938.752,2.61,2.71,1
305,23.725,49.81,4,400,12672,19729,939.802,0.06,0.09,0
59117,-4.261,47.63,133,400,12786,20594,937.318,1.98,2.05,0
56091,49.55,20.29,60000,6034,11560,16796,936.835,3736.23,3881.81,0
20748,7.046,52.7,1184,400,12975,19433,938.723,2.12,2.21,1
33566,18.99,52.79,350,400,13082,19916,939.332,0.35,0.36,1
58530,-4.885,46.78,72,400,12799,20647,937.411,1.81,1.88,0
39649,26.9,47.77,1130,457,12867,19452,938.868,1.91,1.98,1
3106,10.28,50.34,164,400,13152,20004,939.663,0.71,0.74,0
45261,24.55,53.65,1371,435,12922,19398,938.742,1.42,1.47,1
40192,26.96,47.56,1120,438,12862,19452,938.806,2.21,2.29,1
38265,26.78,48.06,1099,525,12842,19450,938.923,2.32,2.41,1
25885,13.52,51.98,32,400,12977,19894,939.756,0.15,0.15,0
32968,18.31,56.38,314,400,13106,19955,939.419,0.25,0.26,1
37364,26.64,48.34,1057,562,12826,19461,938.983,1.96,2.04,1
21231,-0.813,53.55,1343,401,12954,19387,938.714,1.98,2.06,1
779,26.735,52.56,16,400,12942,19881,939.754,0.27,0.28,0
47475,24.72,52.63,1381,407,12957,19379,938.741,1.97,2.04,1
1179,27.005,55.92,29,400,13055,19932,939.772,0.27,0.28,0
33845,18.92,53.72,359,400,13063,19895,939.29,0.31,0.33,1
25500,11.59,56.56,18,400,12782,19771,939.845,0.27,0.3,0
37014,26.84,47.42,1027,579,12827,19482,939.037,2.12,2.2,1
38720,24.72,52.52,1186,522,12835,19436,938.897,1.9,1.97,1
50734,37.58,15.48,0,998,13077,20760,930.916,0.93,0.96,1
39179,27.06,47.11,1040,467,12862,19466,938.909,1.57,1.63,1
39616,24.83,52.15,1172,485,12853,19433,938.873,1.73,1.8,1
48582,26.48,49.78,1367,404,12977,19381,938.701,1.71,1.78,1
16742,13.456,53.07,1057,400,12908,19474,938.753,1.59,1.66,1
31492,21.43,49.53,189,400,13154,20071,939.619,0.77,0.8,1
39571,24.51,53.33,1138,467,12858,19440,938.888,1.65,1.72,1
47052,24.85,51.89,1389,411,12954,19379,938.733,1.87,1.94,1
51533,29.1,41.12,36,400,12841,20738,937.557,2.04,2.12,0
39686,24.59,53.1,1176,460,12858,19438,938.862,1.8,1.87,1
48489,25.06,50.74,1419,419,12969,19376,938.689,2.09,2.17,1
61306,20.611,24.65,19638,648,12692,18950,936.879,0.67,0.69,0
21006,2.918,50.17,1312,408,12952,19402,938.675,1.95,2.03,1
28777,20.01,52.64,159,400,13210,20051,939.651,1.83,1.9,1
38459,27.11,47.01,1122,512,12843,19449,938.887,1.76,1.83,1
26775,18.71,49.2,40,400,13133,20017,939.607,0.72,0.75,0
29627,22.15,48.82,26,400,13264,20195,939.661,2.05,2.13,1
51965,29.2,40.65,89,407,12787,20668,937.556,1.98,2.06,0
37634,24.82,51.63,1124,568,12823,19444,938.966,2.19,2.27,1
55803,50.56,14.25,627,400,13347,20520,936.837,0.97,1.01,0
35926,23.82,54.3,1038,662,12791,19465,939.031,2.33,2.42,1
14480,15.35,47.36,1140,474,12860,19441,938.911,2.12,2.2,1
18896,20.752,53.75,1195,402,12913,19432,938.706,1.52,1.58,1
1149,27.049,50.48,14,400,13060,19948,939.769,0.38,0.4,0
28384,22.35,54.65,274,400,13138,19942,939.666,1.88,1.95,1
38189,24.52,53.1,1084,531,12837,19454,938.877,1.95,2.03,1
34792,22.86,58.91,668,822,12721,19592,939.13,2.6,2.71,1
29596,20.22,52.25,34,400,13255,20172,939.675,2.54,2.64,1
62224,-21.912,12.19,38336,400,12888,18702,936.702,7.51,8.45,0
53946,28.77,42.35,162,427,12777,20556,937.4,1.73,1.8,0
44347,25.34,49.01,1241,418,12907,19409,938.679,1.77,1.84,1
46317,26.91,47.72,1333,404,12956,19399,938.704,1.96,2.04,1
25955,13.21,56.51,16,400,13011,19922,939.749,0.13,0.13,0
19882,17.644,47.78,1168,408,12926,19431,938.709,1.54,1.6,1
28379,22.24,55.1,268,400,13149,19950,939.647,1.75,1.82,1
61455,17.629,17.94,29188,684,12659,18805,936.894,0.74,0.76,0
52183,26.03,47.36,67,400,12787,20676,937.467,1.85,1.92,0
26239,16.45,53.23,0,400,13085,19971,939.729,0.53,0.55,0
51391,26.91,45.19,54,415,12836,20724,937.572,1.92,1.99,0
27658,20.48,47.77,69,400,13197,20102,939.655,1.03,1.07,0
29811,22.21,48.82,36,400,13255,20179,939.675,2.16,2.24,1
27268,18.09,49.78,28,400,13194,20141,939.615,1.26,1.31,0
13410,20.124,46.79,1174,531,12833,19423,938.879,1.51,1.57,1
8494,-4.76,52.7,325,400,13108,19941,939.347,0.23,0.24,1
17638,16.731,53.78,1101,408,12903,19451,938.716,1.55,1.61,1
29318,21.41,53.54,92,400,13241,20124,939.664,2.56,2.66,1
52238,26.08,47.19,110,400,12777,20626,937.511,2.37,2.46,0
47221,26.98,47.72,1337,410,12968,19395,938.704,2.03,2.11,1
46229,24.43,53.74,1379,413,12948,19383,938.69,1.93,2.0,1
48498,24.62,53.23,1381,406,12973,19378,938.685,1.7,1.77,1
22824,-21.241,47.84,1302,400,12977,19398,938.723,2.08,2.16,1
22026,-13.345,50.43,1346,400,12969,19395,938.737,2.0,2.07,1
47083,26.57,49.36,1352,400,12969,19393,938.705,1.75,1.82,1
48540,26.96,47.77,1354,400,12979,19397,938.7,1.87,1.95,1
2705,15.182,52.63,86,400,13197,20087,939.659,1.01,1.05,0
2095,21.704,48.96,28,400,13129,20027,939.614,0.85,0.88,0
8241,-4.436,53.03,322,400,13102,19948,939.413,0.27,0.28,1
46032,24.87,51.71,1410,432,12940,19370,938.693,2.04,2.12,1
13307,20.4,52.52,1113,538,12839,19448,938.898,1.93,2.01,1
36591,26.65,47.81,1065,609,12812,19467,939.076,1.87,1.95,1
38610,24.51,53.2,1130,515,12845,19448,938.882,1.76,1.82,1
6839,-5.847,56.44,197,400,13156,20062,939.589,0.52,0.54,1
38002,24.65,52.66,1124,543,12830,19448,938.9,1.85,1.92,1
12462,19.806,51.98,1153,579,12825,19454,939.007,2.2,2.29,1
60148,16.755,49.35,209,442,12761,20505,937.381,1.81,1.88,0
36303,26.58,47.86,1005,620,12806,19487,939.097,1.86,1.94,1
1207,26.956,49.55,3,400,13074,19962,939.749,0.36,0.37,0
2153,21.159,49.09,0,400,13183,20084,939.675,0.81,0.84,0
17494,16.124,49.66,1222,420,12890,19432,938.736,1.69,1.76,1
19259,20.57,53.89,1208,402,12923,19434,938.696,1.49,1.55,1
61205,20.649,30.87,7707,400,12975,19471,936.876,0.34,0.35,0
6689,-6.366,49.11,221,400,13136,20044,939.594,0.66,0.69,1
36556,24.54,52.3,1092,625,12801,19447,939.063,2.45,2.54,1
23291,-21.761,48.99,1373,401,12979,19386,938.709,1.75,1.82,1
7689,-4.087,55.51,289,400,13116,19970,939.445,0.28,0.29,1
18391,19.715,47.29,1272,426,12898,19412,938.731,1.74,1.81,1
55081,27.69,61.09,578,400,13084,20577,937.052,1.19,1.24,0
25033,11.12,54.41,6,415,12491,19559,939.761,0.06,0.21,0
32802,18.31,56.55,306,400,13109,19961,939.4,0.25,0.26,1
29924,21.94,50.48,28,400,13248,20185,939.677,2.26,2.35,1
872,26.969,51.43,7,400,12991,19918,939.711,0.26,0.27,0
16923,14.002,52.1,1059,400,12903,19462,938.77,1.88,1.96,1
12926,20.849,46.97,1053,534,12843,19473,938.902,1.74,1.81,1
58835,-4.744,43.52,125,400,12795,20596,937.367,1.74,1.8,0
28045,18.71,51.1,189,400,13146,19982,939.68,0.84,0.88,0
31031,19.85,52.96,144,400,13186,20121,939.671,1.46,1.52,1
39968,25.22,49.48,1149,467,12855,19442,938.828,1.83,1.9,1
28125,20.88,47.48,162,400,13162,20013,939.624,0.93,0.97,0
29460,22.42,47.84,60,400,13254,20159,939.664,2.52,2.62,1
58114,-9.19,43.27,66,400,12796,20667,937.494,2.03,2.11,0
51412,29.15,41.08,46,410,12840,20734,937.577,1.79,1.86,0
37380,27.02,46.95,1101,565,12828,19460,938.966,2.04,2.12,1
29192,19.89,53.62,96,400,13237,20121,939.634,2.28,2.37,1
22076,-14.027,54.01,1360,406,12954,19382,938.722,1.65,1.72,1
4472,-5.019,47.46,66,400,13241,20152,939.658,2.29,2.38,1
15736,12.0,47.81,1163,406,12880,19443,938.791,1.83,1.9,1
10361,-0.212,49.79,908,678,12793,19516,939.103,2.6,2.7,1
50857,35.65,16.16,0,1363,12861,20680,930.909,1.17,1.21,1
46551,26.84,48.1,1343,403,12957,19392,938.735,1.64,1.7,1
55306,37.34,44.46,6147,400,13063,19572,936.909,0.41,0.43,0
61642,7.819,19.57,0,400,13585,21185,936.804,0.91,0.95,0
62513,-1.503,14.91,1130,400,13683,20383,936.703,0.73,0.76,0
12762,20.708,52.05,1124,568,12826,19452,938.959,1.67,1.73,1
29408,20.75,48.82,106,400,13224,20100,939.668,2.03,2.11,1
33897,21.02,50.66,351,400,13070,19916,939.261,0.44,0.46,1
37610,26.81,47.61,1032,548,12837,19466,938.989,1.78,1.85,1
17220,15.039,53.76,1184,412,12889,19438,938.776,1.47,1.52,1
48663,27.02,47.73,1316,400,12979,19385,938.714,1.69,1.76,1
